LowBirthWeightIndLowBirthWeightIndDesc,BirthAgeGroupAgeGroupDesc,YearBirthYearDesc,CountyCountyName,BirthCount,Birth Count_PCT,SORT
Normal birth weight (2500g+),45 and older,2006,Darke,*,*,558
Low birth weight (<2500g),Less than 15,2006,Defiance,0,0.0,570
Low birth weight (<2500g),15 to 17,2006,Defiance,2,0.4,571
Low birth weight (<2500g),18 to 19,2006,Defiance,5,0.9,572
Low birth weight (<2500g),20 to 24,2006,Defiance,13,2.4,573
Low birth weight (<2500g),25 to 29,2006,Defiance,6,1.1,574
Low birth weight (<2500g),30 to 34,2006,Defiance,4,0.7,575
Low birth weight (<2500g),35 to 39,2006,Defiance,4,0.7,576
Low birth weight (<2500g),40 to 44,2006,Defiance,*,*,577
Low birth weight (<2500g),45 and older,2006,Defiance,0,0.0,578
Normal birth weight (2500g+),Less than 15,2006,Defiance,0,0.0,580
Normal birth weight (2500g+),15 to 17,2006,Defiance,*,*,581
Normal birth weight (2500g+),18 to 19,2006,Defiance,48,8.8,582
Normal birth weight (2500g+),20 to 24,2006,Defiance,145,26.7,583
Normal birth weight (2500g+),25 to 29,2006,Defiance,167,30.8,584
Normal birth weight (2500g+),30 to 34,2006,Defiance,92,16.9,585
Normal birth weight (2500g+),35 to 39,2006,Defiance,32,5.9,586
Normal birth weight (2500g+),40 to 44,2006,Defiance,*,*,587
Normal birth weight (2500g+),45 and older,2006,Defiance,*,*,588
Low birth weight (<2500g),Less than 15,2006,Delaware,0,0.0,600
Low birth weight (<2500g),15 to 17,2006,Delaware,*,*,601
Low birth weight (<2500g),18 to 19,2006,Delaware,3,0.1,602
Low birth weight (<2500g),20 to 24,2006,Delaware,11,0.5,603
Low birth weight (<2500g),25 to 29,2006,Delaware,34,1.4,604
Low birth weight (<2500g),30 to 34,2006,Delaware,65,2.7,605
Low birth weight (<2500g),35 to 39,2006,Delaware,44,1.8,606
Low birth weight (<2500g),40 to 44,2006,Delaware,8,0.3,607
Low birth weight (<2500g),45 and older,2006,Delaware,0,0.0,608
Normal birth weight (2500g+),Less than 15,2006,Delaware,*,*,610
Normal birth weight (2500g+),15 to 17,2006,Delaware,*,*,611
Normal birth weight (2500g+),18 to 19,2006,Delaware,41,1.7,612
Normal birth weight (2500g+),20 to 24,2006,Delaware,263,10.9,613
Normal birth weight (2500g+),25 to 29,2006,Delaware,603,24.9,614
Normal birth weight (2500g+),30 to 34,2006,Delaware,841,34.7,615
Normal birth weight (2500g+),35 to 39,2006,Delaware,406,16.8,616
Normal birth weight (2500g+),40 to 44,2006,Delaware,76,3.1,617
Normal birth weight (2500g+),45 and older,2006,Delaware,*,*,618
Low birth weight (<2500g),Less than 15,2006,Erie,0,0.0,630
Low birth weight (<2500g),15 to 17,2006,Erie,7,0.8,631
Low birth weight (<2500g),18 to 19,2006,Erie,6,0.7,632
Low birth weight (<2500g),20 to 24,2006,Erie,23,2.7,633
Low birth weight (<2500g),25 to 29,2006,Erie,12,1.4,634
Low birth weight (<2500g),30 to 34,2006,Erie,11,1.3,635
Low birth weight (<2500g),35 to 39,2006,Erie,4,0.5,636
Low birth weight (<2500g),40 to 44,2006,Erie,3,0.4,637
Low birth weight (<2500g),45 and older,2006,Erie,0,0.0,638
Normal birth weight (2500g+),Less than 15,2006,Erie,*,*,640
Normal birth weight (2500g+),15 to 17,2006,Erie,26,3.1,641
Normal birth weight (2500g+),18 to 19,2006,Erie,58,6.9,642
Normal birth weight (2500g+),20 to 24,2006,Erie,238,28.3,643
Normal birth weight (2500g+),25 to 29,2006,Erie,209,24.9,644
Normal birth weight (2500g+),30 to 34,2006,Erie,161,19.1,645
